IndNo Y X1 X2 X3 X4 X5 X6 X7
63 61.17 4.14 20.28 72.25 73.16 66.09 89.71 16.25
64 64.98 4.11 21.91 74.76 76.74 76.4 86.43 15.8
65 64.3 3.82 22.98 73.33 75.05 74.26 91.63 16.44
66 61.05 3.74 21.18 70.48 70.17 70.82 86.79 16.13
67 57.77 3.93 21 67.66 69.77 65.96 85.77 15.81
68 59.35 4.46 19.08 69.62 70.98 71.56 84.99 14.52
69 63.38 4.16 25.11 73.17 73.29 80 89.56 15.77
70 61.19 4.47 21.96 71.28 72.43 72.28 89.06 14.73
71 64.31 4.07 19.12 75.23 74.67 76.14 90.25 15.09
72 58.15 3.41 18.74 68.05 69.01 68.81 87.96 15
73 59.78 3.76 18.63 69.92 70.55 72.62 89.21 15.55
74 62.25 3.85 17.72 71.97 71.78 73.55 88.08 15.99
75 64.23 4.09 19.7 73.6 74.94 74.03 87.67 14.11
76 63.02 3.91 21.22 75.81 72.86 74.14 89.75 14.23
77 59.83 4.44 22.14 69.13 70.32 72.64 85.96 16.69
78 66.01 4.26 21.42 77.39 77.72 74.18 91.64 15.01
79 61.65 3.71 20.79 72.07 73.66 73.7 90.26 15.36
80 54.84 3.99 16.52 65.64 67.14 70.03 87.9 17.18
81 61.67 4.03 19.02 72.12 73.32 68.35 86.44 16.8
82 63.11 3.68 20.74 73.45 75.89 74.03 91.09 15.77
83 63.73 4.05 21.3 73.84 75.41 69.34 89.57 16.33
84 62.05 4.39 24.01 73.31 73.74 72.9 87.46 15.66
85 62.84 3.65 20.15 72.24 73.52 72.03 89.98 15.52
86 64.11 4.06 23.76 74.49 75.75 70.89 87.94 16.46
87 64.14 4.24 19.89 73.85 76.38 70.34 87.53 15.86
88 62.18 3.78 19.58 73.36 74.9 77.07 87.84 16.09
89 64.61 3.51 20.21 73.2 74.21 73.64 89.21 15.42
90 65.45 4.25 23.25 78.05 77.74 73.38 88.28 15.84
91 63.03 3.89 19.44 73.15 74.19 67.7 89.4 14.05
92 60.89 3.79 23.08 69.91 70.12 75.94 88.61 16.3
93 65.29 3.72 17.02 76.92 78.23 75.8 89.67 14.67
94 65.45 4.22 23.11 76.18 76.9 72.26 90.14 16.72
95 59.27 3.87 21.94 69.66 68.53 68.33 87.57 16.71
96 65.13 3.93 21.51 76.9 78.7 75.15 92.12 16.97
97 65.02 3.8 19.08 74.82 78.67 72.54 90.99 16.54
98 61.65 4.24 22.39 71.72 72.01 79.79 89.44 15.4
99 61.36 3.55 22.02 71.07 73.37 67.24 88.32 17.18
100 58.85 4.14 20.44 70.08 70.28 65.68 88.51 14.21
